i_gru,n_m,Ra,dec,z,thete_g ,mu,sigv,r_b,flag,rabs1,d_ij,tcr,rp,rabs2,Target,ngc,pasiva
444,5,221.921,9.599,0.029563,7.337999999999999,26.12,149.422,14.142999999999999,1,-20.689,0.095712,0.0580914,93.897522,-20.593000000000004,Loose,444,1
445,5,222.139,11.335,0.052726999999999996,1.905,23.414,585.995,13.838,1,-22.291,0.060822400000000006,0.009413,43.2438393,-20.5,Node,445,5
446,5,222.69799999999998,10.127,0.053977,1.79,23.43,658.66,14.648,1,-21.534000000000002,0.0522385,0.0071926,41.5745239,-21.443,Node,446,5
447,6,223.602,49.394,0.037633,5.309,25.794,292.05,14.436,1,-20.92,0.1173868,0.036452,86.3206863,-20.247,Loose,447,5
448,6,224.192,24.641,0.033766000000000004,7.6579999999999995,26.252,184.998,14.32,1,-20.756,0.1462348,0.07168730000000001,111.8116837,-20.586,Field,448,3
449,4,226.662,9.448,0.028383999999999996,4.2,25.909000000000002,80.687,14.585,1,-20.16,0.0553175,0.06217519999999999,51.6126595,-18.593,Loose,449,1
450,5,227.81900000000002,10.55,0.06956799999999999,4.68,25.863000000000003,174.555,14.615,1,-22.156999999999996,0.1343987,0.069827,139.5864258,-21.805999999999997,Field,450,4
451,4,232.66,3.4810000000000003,0.088407,2.1519999999999997,24.299,425.346,14.482999999999999,1,-22.816999999999997,0.12529500000000002,0.026714699999999997,81.1934814,-21.531999999999996,Node,451,4
452,4,236.269,16.951,0.049082,3.583,24.791,564.096,13.772,1,-22.229,0.1185486,0.0190591,75.7712021,-20.701999999999998,Field,452,3
453,7,237.045,9.131,0.04112,6.933,25.843000000000004,411.421,13.946,1,-21.614,0.11766869999999999,0.025937799999999997,123.06156159999999,-20.755,Loose,453,5
454,5,238.174,-0.528,0.078726,4.07,25.612,327.555,14.59,1,-22.47,0.1792282,0.049622900000000005,137.0480347,-21.295,Field,454,1
455,7,240.104,33.224000000000004,0.088284,2.8480000000000003,24.767,618.4159999999999,14.575,1,-22.733,0.1046238,0.015343,107.31501010000001,-22.043000000000003,Node,455,7
456,4,242.487,30.125,0.048119999999999996,4.522,25.955,198.605,14.364,1,-21.521,0.12990810000000003,0.059320500000000005,93.7624207,-19.794,FIl,456,2
457,4,243.614,50.471000000000004,0.059726999999999995,2.574,24.631999999999998,181.71599999999998,14.422,1,-22.017,0.07193089999999999,0.035899,66.0720825,-20.53,Loose,457,4
458,7,243.981,38.537,0.034782,6.091,26.201999999999998,138.779,14.577,1,-20.57,0.103047,0.0673399,91.589798,-20.088,Field,458,3
459,4,244.41,50.641000000000005,0.041362,4.748,25.61,552.432,14.145999999999999,1,-21.441,0.09917949999999999,0.0162818,84.7610397,-20.121,Loose,459,3
460,5,245.283,13.159,0.034352,3.715,24.912,247.585,14.328,1,-20.778000000000002,0.0790424,0.0289531,55.171382900000005,-19.839000000000002,Loose,460,2
461,4,247.547,36.247,0.075265,3.6710000000000003,25.664,383.398,14.479000000000001,1,-22.476999999999997,0.1604934,0.0379636,118.2803345,-20.026,Field,461,2
462,5,250.332,13.424000000000001,0.050796,4.13,24.858,268.188,13.764000000000001,1,-22.276,0.1120633,0.0378952,90.3463287,-21.427,Loose,462,5
